City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
280,Chuy,UY,2021-10-21 19:20:09,-33.6971,-53.4616,66.09,59,12,9.33
281,Richards Bay,ZA,2021-10-21 19:20:09,-28.783,32.0377,69.67,79,99,16.35
282,Fortuna,US,2021-10-21 19:20:09,40.5982,-124.1573,70.41,66,90,8.99
283,Anadyr,RU,2021-10-21 19:17:07,64.75,177.4833,21.7,93,75,6.71
284,Angoche,MZ,2021-10-21 19:20:09,-16.2325,39.9086,74.23,65,54,10.09
285,Korla,CN,2021-10-21 19:20:09,41.7597,86.1469,54.84,29,0,6.35
286,Kristiansund,NO,2021-10-21 19:20:09,63.1115,7.732,42.85,65,75,26.46
287,Vilhena,BR,2021-10-21 19:20:10,-12.7406,-60.1458,84.42,65,40,4.61
288,Merauke,ID,2021-10-21 19:20:10,-8.4667,140.3333,77.58,87,100,5.3
289,Salalah,OM,2021-10-21 19:18:31,17.0151,54.0924,80.69,69,75,4.61
290,Goderich,CA,2021-10-21 19:20:10,43.7501,-81.7165,63.91,88,100,10.36
291,Hami,CN,2021-10-21 19:20:10,42.8,93.45,57.06,21,0,6.17
